target,sample,actual,gpr_mean,gpr_posterior_sd,gpr_sd_pct,abs_error,inside_95pct_interval
E,S1,117.17,101.2498,35.698,35.2573,15.9202,True
E,S2,90.18,122.2772,27.1412,22.1964,32.0972,True
E,S3,152.5,131.8222,28.5244,21.6386,20.6778,True
E,S4,231.78,178.788,11.4309,6.3935,52.992,False
E,S5,182.59,228.6452,8.1843,3.5795,46.0552,False
E,S6,235.65,191.9953,28.6711,14.9332,43.6547,True
E,S7,176.51,182.0973,32.2786,17.726,5.5873,True
E,S8,126.42,136.6185,27.5551,20.1693,10.1985,True
E,S9,107.67,157.2263,50.0436,31.829,49.5563,True
E,S10,168.57,168.3438,26.3836,15.6725,0.2262,True
TS,S1,4.82,4.5268,1.5323,33.8493,0.2932,True
TS,S2,3.97,5.2167,1.1855,22.7259,1.2467,True
TS,S3,6.56,5.5431,1.1817,21.3185,1.0169,True
TS,S4,9.61,7.2579,0.472,6.5033,2.3521,False
TS,S5,7.43,9.467,0.3422,3.6147,2.037,False
TS,S6,9.65,7.8697,1.2235,15.5467,1.7803,True
TS,S7,7.25,7.4454,1.3609,18.2789,0.1954,True
TS,S8,5.22,5.9138,1.1658,19.7132,0.6938,True
TS,S9,4.53,6.5929,2.0215,30.662,2.0629,True
TS,S10,7.13,6.9564,1.1297,16.2398,0.1736,True
EL,S1,42.07,56.8279,9.0513,15.9276,14.7579,True
EL,S2,46.61,44.7214,7.9638,17.8076,1.8886,True
EL,S3,49.13,51.7639,9.3904,18.1409,2.6339,True
EL,S4,61.3,58.2267,7.528,12.9287,3.0733,True
EL,S5,60.69,60.2915,7.3026,12.1122,0.3985,True
EL,S6,64.46,63.0411,8.6111,13.6595,1.4189,True
EL,S7,69.04,58.2512,8.606,14.7739,10.7888,True
EL,S8,42.91,55.1264,4.0026,7.2608,12.2164,False
EL,S9,51.25,55.8807,10.1884,18.2323,4.6307,True
EL,S10,67.15,54.6643,5.02,9.1833,12.4857,False
