model,target,RMSE,MAE,R2,CV_RMSE
PLS (LV by inner LOOCV),E,36.9165,32.1806,0.3903,23.2319
PLS (LV by inner LOOCV),TS,1.6455,1.3878,0.2484,24.8679
PLS (LV by inner LOOCV),EL,12.2533,9.837,-0.6033,22.0935
Ridge regression,E,35.2187,29.133,0.4451,22.1635
Ridge regression,TS,1.4637,1.234,0.4053,22.1207
Ridge regression,EL,10.5876,8.4944,-0.1971,19.0902
Elastic net,E,34.8565,29.937,0.4564,21.9356
Elastic net,TS,1.5216,1.293,0.3573,22.9961
Elastic net,EL,10.0674,7.9156,-0.0823,18.1523
Gaussian process regression (RBF + white noise),E,33.3726,27.6965,0.5017,21.0018
Gaussian process regression (RBF + white noise),TS,1.4258,1.1852,0.4357,21.5481
Gaussian process regression (RBF + white noise),EL,8.2637,6.4293,0.2708,14.9001
Support vector regression (RBF kernel),E,41.4603,35.2363,0.2309,26.0914
Support vector regression (RBF kernel),TS,1.528,1.3417,0.352,23.0916
Support vector regression (RBF kernel),EL,10.5509,8.8663,-0.1888,19.0241
DeepSeek-V3-0324,E,40.5211,33.8564,0.2654,25.5004
DeepSeek-V3-0324,TS,1.6528,1.3832,0.2418,24.9775
DeepSeek-V3-0324,EL,8.6917,6.3536,0.1933,15.6718
DeepSeek-R1-0528,E,34.2443,30.7992,0.4753,21.5503
DeepSeek-R1-0528,TS,1.4868,1.294,0.3864,22.4697
DeepSeek-R1-0528,EL,6.2087,4.997,0.5884,11.1947
ChatGPT-4o,E,34.2862,31.6388,0.4741,21.5767
ChatGPT-4o,TS,1.5039,1.2844,0.3723,22.7271
ChatGPT-4o,EL,7.6644,5.6712,0.3727,13.8194
GPT-5,E,35.5951,30.808,0.4331,22.4004
GPT-5,TS,1.4945,1.2876,0.3801,22.5851
GPT-5,EL,6.2243,5.179,0.5863,11.2228
